SOURCE	TARGET
AT2G47420.1	AT2G34570.1
AT2G47420.1	AT1G29320.1
AT2G47420.1	AT5G08180.2
AT2G47420.1	AT2G47990.1
AT2G47420.1	AT2G31410.1
AT2G47420.1	AT3G13940.1
AT2G47420.1	AT5G20600.1
AT2G47420.1	AT2G18220.1
AT2G47420.1	AT5G14520.1
AT2G47420.1	AT4G01560.1
AT2G47420.1	AT2G40700.1
AT4G14940.1	AT4G37390.1
AT4G14940.1	AT1G31710.1
AT1G29965.1	AT1G77940.1
AT1G29965.1	AT2G05220.2
AT1G29965.1	AT3G52590.1
AT1G29965.1	AT3G11250.1
AT1G29965.1	AT4G34555.1
AT1G29965.1	AT5G06360.1
AT1G29965.1	AT1G77750.1
AT1G29965.1	AT3G28500.1
AT1G29965.1	AT2G18020.1
AT1G29965.1	AT3G03600.1
AT1G29965.1	AT1G52300.1
AT1G29965.1	AT3G16780.1
AT1G29965.1	AT1G80620.1
AT1G29965.1	AT5G56670.1
AT1G29965.1	AT3G10610.1
AT1G29965.1	AT3G05560.3
AT1G29965.1	AT4G09800.1
AT3G01160.1	AT5G08610.1
AT3G01160.1	AT4G02400.1
AT3G01160.1	AT1G23280.1
AT3G01160.1	AT5G14600.1
AT3G01160.1	AT5G57280.1
AT3G01160.1	AT5G17930.1
AT3G01160.1	AT5G27120.1
AT3G01160.1	AT5G30495.2
AT3G01160.1	AT4G16630.1
AT3G01160.1	AT3G15460.1
AT3G01160.1	AT5G37350.1
AT3G01160.1	AT5G06360.1
AT3G01160.1	AT2G47420.1
AT3G01160.1	AT3G23620.1
AT3G01160.1	AT3G12860.1
AT3G01160.1	AT1G52930.1
AT3G01160.1	AT2G19385.1
AT3G01160.1	AT2G43110.1
AT3G01160.1	AT2G37920.1
AT3G01160.1	AT2G42650.1
AT3G01160.1	AT2G34570.1
AT3G01160.1	AT1G72790.1
AT3G01160.1	AT1G29320.1
AT3G01160.1	AT5G08180.2
AT3G01160.1	AT2G47990.1
AT3G01160.1	AT3G13940.1
AT3G01160.1	AT5G20600.1
AT3G01160.1	AT2G18220.1
AT3G01160.1	AT5G14520.1
AT3G01160.1	AT4G01560.1
AT3G01160.1	AT4G27010.2
AT3G01160.1	AT2G40700.1
AT3G01160.1	AT2G36930.1
AT3G48190.1	AT5G04240.1
AT3G48190.1	AT1G48050.1
AT3G48190.1	AT3G18524.1
AT3G48190.1	AT5G54260.1
AT3G48190.1	AT2G37470.1
AT3G48190.1	AT5G22880.1
AT1G50900.1	AT2G24090.1
AT1G50900.1	AT1G68590.1
AT2G05220.2	AT1G77940.1
AT2G05220.2	AT3G52590.1
AT2G05220.2	AT1G29965.1
AT2G05220.2	AT3G11250.1
AT2G05220.2	AT4G34555.1
AT2G05220.2	AT1G72730.1
AT2G05220.2	AT5G06360.1
AT2G05220.2	AT1G77750.1
AT2G05220.2	AT3G28500.1
AT2G05220.2	AT3G60240.4
AT2G05220.2	AT2G34520.1
AT2G05220.2	AT2G18020.1
AT2G05220.2	AT3G03600.1
AT2G05220.2	AT1G52300.1
AT2G05220.2	AT4G28360.1
AT2G05220.2	AT3G16780.1
